id	日本語	英語	削除hint
D01-W03	する	do	動詞・2文字
D05-W01	始める	start	開始する
D05-W02	始まる	begin	始まりに重点
D05-W03	終える	finish	最後まで終える
D05-W04	止める	stop	途中で止める
D06-W11	始める	start	開始する
D06-W12	終える	finish	最後まで終える
D07-W03	借りる	borrow	借りる
D07-W04	貸す	lend	貸す
D07-W20	出発する	leave	動詞・5文字
D08-W02	出発する	leave	動詞・5文字
D08-W03	借りる	borrow	借りる
D08-W04	貸す	lend	貸す
D18-W07	授業	class	名詞・5文字
D19-W08	出発する	depart	動詞・6文字
D23-W19	出発する	leave	動詞・5文字
D24-W15	終える	finish	最後まで終える
D24-W16	始める	start	開始する
D25-W15	借りる	borrow	借りる
D25-W16	貸す	lend	貸す
D28-W17	終える	finish	最後まで終える
D28-W18	始める	start	開始する
D32-W15	授業	lesson	名詞・6文字
D32-W16	授業	class	名詞・5文字
D34-W08	終える	finish	最後まで終える
D34-W09	始める	start	開始する
D37-W17	授業	class	名詞・5文字
D38-W15	する	play	動詞・4文字
D40-W01	終える	finish	最後まで終える
